InvoiceNo,Quantity,InvoiceDate,UnitPrice,CustomerID,TotalPrice
536365,6,2010-12-01 08:26:00,2.55,17850,15.299999999999999
536366,6,2010-12-01 08:28:00,1.85,17850,11.100000000000001
536367,32,2010-12-01 08:34:00,1.69,13047,54.08
536368,6,2010-12-01 08:34:00,4.25,13047,25.5
536369,3,2010-12-01 08:35:00,5.95,13047,17.85
536370,24,2010-12-01 08:45:00,3.75,12583,90.0
536371,80,2010-12-01 09:00:00,2.55,13748,204.0
536372,6,2010-12-01 09:01:00,1.85,17850,11.100000000000001
536373,6,2010-12-01 09:02:00,2.55,17850,15.299999999999999
536374,32,2010-12-01 09:09:00,10.95,15100,350.4
536375,6,2010-12-01 09:32:00,2.55,17850,15.299999999999999
536376,48,2010-12-01 09:32:00,3.45,15291,165.60000000000002
536377,6,2010-12-01 09:34:00,1.85,17850,11.100000000000001
536378,10,2010-12-01 09:37:00,1.95,14688,19.5
536380,24,2010-12-01 09:41:00,1.45,17809,34.8
536381,23,2010-12-01 09:41:00,4.25,15311,97.75
C536379,-1,2010-12-01 09:41:00,27.5,14527,-27.5
536382,12,2010-12-01 09:45:00,0.85,16098,10.2
C536383,-1,2010-12-01 09:49:00,4.65,15311,-4.65
536384,3,2010-12-01 09:53:00,6.45,18074,19.35
536385,1,2010-12-01 09:56:00,19.95,17420,19.95
536386,36,2010-12-01 09:57:00,4.95,16029,178.20000000000002
536387,192,2010-12-01 09:58:00,3.82,16029,733.4399999999999
536388,3,2010-12-01 09:59:00,5.95,16250,17.85
536389,6,2010-12-01 10:03:00,8.5,12431,51.0
536390,2,2010-12-01 10:19:00,8.5,17511,17.0
C536391,-12,2010-12-01 10:24:00,1.65,17548,-19.799999999999997
536392,6,2010-12-01 10:29:00,1.95,13705,11.7
536393,8,2010-12-01 10:37:00,9.95,13747,79.6
536394,24,2010-12-01 10:39:00,0.42,13408,10.08
536395,8,2010-12-01 10:47:00,3.95,13767,31.6
536396,6,2010-12-01 10:51:00,2.55,17850,15.299999999999999
536397,12,2010-12-01 10:51:00,4.65,17924,55.800000000000004
536398,24,2010-12-01 10:52:00,0.29,13448,6.959999999999999
536399,6,2010-12-01 10:52:00,1.85,17850,11.100000000000001
536400,12,2010-12-01 10:53:00,1.45,13448,17.4
536401,1,2010-12-01 11:21:00,2.55,15862,2.55
536402,40,2010-12-01 11:22:00,2.55,15513,102.0
536403,96,2010-12-01 11:27:00,1.85,12791,177.60000000000002
536404,24,2010-12-01 11:29:00,1.25,16218,30.0
536405,128,2010-12-01 11:32:00,2.55,14045,326.4
536406,8,2010-12-01 11:33:00,2.55,17850,20.4
536407,6,2010-12-01 11:34:00,1.85,17850,11.100000000000001
536408,24,2010-12-01 11:41:00,0.42,14307,10.08
536409,3,2010-12-01 11:45:00,6.35,17908,19.049999999999997
536412,3,2010-12-01 11:49:00,1.65,17920,4.949999999999999
536415,10,2010-12-01 11:57:00,0.55,12838,5.5
536416,12,2010-12-01 11:58:00,1.25,13255,15.0
536420,12,2010-12-01 12:03:00,1.25,16583,15.0
536423,4,2010-12-01 12:08:00,3.75,18085,15.0
536425,8,2010-12-01 12:08:00,4.65,13758,37.2
536437,200,2010-12-01 12:12:00,1.06,13694,212.0
536446,32,2010-12-01 12:15:00,0.42,15983,13.44
536460,12,2010-12-01 12:22:00,1.25,14849,15.0
536463,12,2010-12-01 12:22:00,1.45,14849,17.4
536464,2,2010-12-01 12:23:00,4.25,17968,8.5
536466,6,2010-12-01 12:23:00,4.25,14849,25.5
536477,48,2010-12-01 12:27:00,1.85,16210,88.80000000000001
536488,5,2010-12-01 12:31:00,1.65,17897,8.25
536500,10,2010-12-01 12:35:00,4.95,17377,49.5
536502,16,2010-12-01 12:36:00,1.69,16552,27.04
536508,72,2010-12-01 12:38:00,1.06,17181,76.32000000000001
C536506,-6,2010-12-01 12:38:00,4.25,17897,-25.5
536514,36,2010-12-01 12:40:00,2.1,17951,75.60000000000001
536520,1,2010-12-01 12:43:00,6.75,14729,6.75
536521,1,2010-12-01 12:48:00,4.95,12748,4.95
536522,1,2010-12-01 12:49:00,3.75,15012,3.75
536523,6,2010-12-01 12:50:00,4.95,12868,29.700000000000003
536524,6,2010-12-01 12:51:00,2.95,17572,17.700000000000003
536525,2,2010-12-01 12:54:00,1.25,14078,2.5
536526,16,2010-12-01 12:58:00,1.69,14001,27.04
536527,6,2010-12-01 13:04:00,2.95,12662,17.700000000000003
536528,12,2010-12-01 13:17:00,0.42,15525,5.04
536529,3,2010-12-01 13:20:00,4.95,14237,14.850000000000001
536530,2,2010-12-01 13:21:00,2.95,17905,5.9
536531,24,2010-12-01 13:23:00,0.42,15485,10.08
536532,50,2010-12-01 13:24:00,0.42,12433,21.0
536533,6,2010-12-01 13:31:00,2.1,16955,12.600000000000001
536534,12,2010-12-01 13:33:00,2.1,15350,25.200000000000003
536535,3,2010-12-01 13:38:00,4.95,15605,14.850000000000001
536536,3,2010-12-01 13:45:00,4.95,18144,14.850000000000001
536537,36,2010-12-01 13:51:00,2.1,15922,75.60000000000001
536538,1,2010-12-01 13:54:00,3.75,14594,3.75
536539,12,2010-12-01 14:03:00,1.45,15165,17.4
536540,4,2010-12-01 14:05:00,9.95,14911,39.8
536541,12,2010-12-01 14:05:00,1.25,14911,15.0
536542,10,2010-12-01 14:11:00,1.65,16456,16.5
C536543,-1,2010-12-01 14:30:00,2.1,17841,-2.1
C536548,-4,2010-12-01 14:33:00,1.95,12472,-7.8
536551,1,2010-12-01 14:34:00,0.95,17346,0.95
536556,12,2010-12-01 14:38:00,0.85,17643,10.2
536557,25,2010-12-01 14:41:00,0.42,17841,10.5
536559,10,2010-12-01 14:54:00,3.95,17873,39.5
536560,48,2010-12-01 15:00:00,4.25,13093,204.0
536561,6,2010-12-01 15:06:00,2.95,12921,17.700000000000003
536562,2,2010-12-01 15:08:00,7.95,13468,15.9
536563,72,2010-12-01 15:08:00,0.42,17760,30.24
536564,8,2010-12-01 15:08:00,1.45,13468,11.6
536566,6,2010-12-01 15:21:00,1.25,16928,7.5
536567,24,2010-12-01 15:27:00,2.1,16048,50.400000000000006
536568,12,2010-12-01 15:28:00,0.42,16048,5.04
536569,1,2010-12-01 15:35:00,8.5,16274,8.5
536570,12,2010-12-01 15:35:00,1.25,14496,15.0
536571,6,2010-12-01 15:37:00,2.1,14696,12.600000000000001
536572,6,2010-12-01 15:40:00,2.55,16539,15.299999999999999
536573,16,2010-12-01 15:45:00,0.65,17025,10.4
536574,3,2010-12-01 15:46:00,5.95,17025,17.85
536575,72,2010-12-01 16:01:00,1.69,13777,121.67999999999999
536576,144,2010-12-01 16:11:00,2.1,13777,302.40000000000003
536577,60,2010-12-01 16:13:00,1.45,13777,87.0
536578,12,2010-12-01 16:15:00,4.65,17690,55.800000000000004
536579,216,2010-12-01 16:16:00,1.06,13777,228.96
536580,12,2010-12-01 16:17:00,1.25,17690,15.0
536581,200,2010-12-01 16:19:00,1.65,13777,330.0
536582,12,2010-12-01 16:21:00,1.25,12947,15.0
536583,120,2010-12-01 16:21:00,1.65,13777,198.0
536584,384,2010-12-01 16:22:00,2.95,13777,1132.8000000000002
536585,2,2010-12-01 16:24:00,9.95,17460,19.9
536586,8,2010-12-01 16:25:00,14.95,18229,119.6
536587,12,2010-12-01 16:33:00,1.49,14142,17.88
536588,6,2010-12-01 16:49:00,4.25,17069,25.5
536590,12,2010-12-01 16:52:00,1.45,13065,17.4
536591,1,2010-12-01 16:57:00,2.1,14606,2.1
536593,2,2010-12-01 17:15:00,7.95,16835,15.9
536594,6,2010-12-01 17:22:00,2.95,15235,17.700000000000003
536595,1,2010-12-01 17:24:00,1.25,13576,1.25
536597,4,2010-12-01 17:35:00,0.55,18011,2.2
536598,12,2010-12-02 07:48:00,1.25,13090,15.0
536599,8,2010-12-02 07:49:00,8.5,15694,68.0
536600,6,2010-12-02 08:32:00,2.55,17850,15.299999999999999
536601,6,2010-12-02 08:33:00,1.85,17850,11.100000000000001
536602,6,2010-12-02 08:34:00,1.06,17850,6.36
536603,6,2010-12-02 08:40:00,1.85,17850,11.100000000000001
536604,12,2010-12-02 08:43:00,0.85,14741,10.2
536605,2,2010-12-02 08:52:00,6.75,13715,13.5
C536606,-2,2010-12-02 09:10:00,2.95,14092,-5.9
536607,2,2010-12-02 09:29:00,9.95,17732,19.9
536608,6,2010-12-02 09:37:00,2.95,12855,17.700000000000003
536609,6,2010-12-02 09:41:00,2.55,17850,15.299999999999999
536610,6,2010-12-02 09:42:00,1.85,17850,11.100000000000001
536611,12,2010-12-02 09:43:00,2.1,15752,25.200000000000003
536612,6,2010-12-02 09:44:00,2.55,17850,15.299999999999999
536613,6,2010-12-02 09:44:00,2.1,17855,12.600000000000001
536614,6,2010-12-02 09:44:00,1.85,17850,11.100000000000001
536615,8,2010-12-02 10:09:00,1.95,14047,15.6
536616,72,2010-12-02 10:10:00,3.39,17925,244.08
536617,12,2010-12-02 10:17:00,1.25,13941,15.0
536618,24,2010-12-02 10:17:00,0.65,17017,15.600000000000001
536619,12,2010-12-02 10:18:00,3.75,17017,45.0
536620,6,2010-12-02 10:27:00,2.1,14135,12.600000000000001
536621,24,2010-12-02 10:35:00,1.45,13108,34.8
C536622,-2,2010-12-02 10:37:00,8.5,12471,-17.0
536623,24,2010-12-02 10:39:00,1.25,15601,30.0
536624,10,2010-12-02 10:45:00,1.25,13418,12.5
536626,6,2010-12-02 10:46:00,2.1,13418,12.600000000000001
C536625,-2,2010-12-02 10:46:00,14.95,14766,-29.9
536627,2,2010-12-02 10:53:00,5.95,15658,11.9
536628,6,2010-12-02 10:54:00,2.55,17850,15.299999999999999
536629,6,2010-12-02 10:55:00,1.85,17850,11.100000000000001
536630,6,2010-12-02 10:56:00,2.55,17850,15.299999999999999
536631,6,2010-12-02 10:58:00,1.85,17850,11.100000000000001
536632,10,2010-12-02 11:02:00,1.95,14388,19.5
536633,24,2010-12-02 11:20:00,0.55,14901,13.200000000000001
536634,4,2010-12-02 11:21:00,2.95,18041,11.8
536635,16,2010-12-02 11:22:00,1.65,15955,26.4
536636,36,2010-12-02 11:23:00,2.95,15070,106.2
536637,2,2010-12-02 11:35:00,1.65,18041,3.3
536638,12,2010-12-02 11:41:00,0.85,16244,10.2
536639,12,2010-12-02 11:45:00,2.1,15111,25.200000000000003
536641,1,2010-12-02 11:46:00,4.25,12748,4.25
C536642,-1,2010-12-02 11:56:00,5.95,14390,-5.95
536643,1,2010-12-02 11:57:00,7.95,14390,7.95
536663,24,2010-12-02 12:07:00,2.1,16546,50.400000000000006
536667,24,2010-12-02 12:09:00,0.85,15260,20.4
536670,40,2010-12-02 12:09:00,1.45,15260,58.0
536671,24,2010-12-02 12:10:00,0.85,13305,20.4
536672,24,2010-12-02 12:10:00,1.95,14491,46.8
536673,60,2010-12-02 12:11:00,0.85,14060,51.0
536674,5,2010-12-02 12:16:00,0.95,15923,4.75
536676,6,2010-12-02 12:18:00,2.1,16752,12.600000000000001
536681,1,2010-12-02 12:22:00,3.25,17287,3.25
536685,8,2010-12-02 12:23:00,3.39,17850,27.12
536688,6,2010-12-02 12:24:00,1.85,17850,11.100000000000001
536690,6,2010-12-02 12:25:00,2.55,17850,15.299999999999999
536693,6,2010-12-02 12:26:00,1.85,17850,11.100000000000001
536698,12,2010-12-02 12:28:00,1.65,15363,19.799999999999997
536707,4,2010-12-02 12:33:00,3.75,12915,15.0
536732,8,2010-12-02 12:47:00,0.85,15544,6.8
536733,12,2010-12-02 12:50:00,1.65,15738,19.799999999999997
C536734,-4,2010-12-02 12:50:00,4.25,16042,-17.0
536735,128,2010-12-02 12:58:00,1.65,17381,211.2
536736,192,2010-12-02 12:59:00,0.42,17381,80.64
C536737,-2,2010-12-02 13:05:00,2.95,15922,-5.9
536738,6,2010-12-02 13:06:00,2.95,15827,17.700000000000003
536739,6,2010-12-02 13:08:00,2.95,14180,17.700000000000003
536740,12,2010-12-02 13:08:00,0.85,15827,10.2
536741,6,2010-12-02 13:11:00,1.25,13117,7.5
536742,1,2010-12-02 13:14:00,1.95,16916,1.95
536743,25,2010-12-02 13:32:00,0.42,17964,10.5
536744,25,2010-12-02 13:36:00,1.95,14466,48.75
536745,30,2010-12-02 13:38:00,1.65,17235,49.5
536746,2,2010-12-02 13:39:00,9.95,16510,19.9
