CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,325,2,0.0,1,2,1,4,Returned/Churned
12347,2,7,163.16,4,4,4,12,Champions
12348,75,4,331.36,2,3,4,9,Loyal Customers
12349,18,1,15.0,3,1,1,5,Potential Customers
12350,310,1,25.200000000000003,1,1,2,4,At Risk
12352,36,11,-140.05,3,4,1,8,Returned/Churned
12353,204,1,19.9,1,1,2,4,At Risk
12354,232,1,20.8,1,1,2,4,At Risk
12355,214,1,30.0,1,1,2,4,At Risk
12356,22,3,153.9,3,2,4,9,Loyal Customers
12357,33,1,19.799999999999997,3,1,2,6,Potential Customers
12358,1,2,157.8,4,2,4,10,Champions
12359,7,6,16.9,4,4,2,10,Champions
12360,52,3,46.3,2,2,3,7,Loyal Customers
12361,287,1,23.4,1,1,2,4,At Risk
12362,3,13,191.93,4,4,4,12,Champions
12363,109,2,85.26,2,2,3,7,Loyal Customers
12364,7,4,80.7,4,3,3,10,Champions
12365,291,3,15.0,1,2,1,4,At Risk
12367,4,1,10.2,4,1,1,6,Potential Customers
12370,51,4,321.38,2,3,4,9,Loyal Customers
12371,44,2,365.04,3,2,4,9,Loyal Customers
12372,71,3,90.11999999999999,2,2,3,7,Loyal Customers
12373,311,1,19.5,1,1,2,4,At Risk
12374,25,1,13.049999999999999,3,1,1,5,Potential Customers
12375,2,3,72.72,4,2,3,9,Loyal Customers
12377,315,2,57.0,1,2,3,6,Potential Customers
12378,129,1,12.600000000000001,2,1,1,4,At Risk
12379,81,3,90.74999999999999,2,2,3,7,Loyal Customers
12380,21,5,216.47000000000003,3,3,4,10,Champions
12381,4,6,73.15,4,4,3,11,Champions
12383,184,6,91.15,1,4,3,8,Loyal Customers
12384,28,3,30.05,3,2,2,7,Loyal Customers
12386,337,2,98.0,1,2,3,6,Potential Customers
12388,15,6,140.52,4,4,4,12,Champions
12390,79,1,19.8,2,1,2,5,Potential Customers
12391,21,1,2.95,3,1,1,5,Potential Customers
12393,72,4,67.2,2,3,3,8,Loyal Customers
12394,63,2,156.20000000000002,2,2,4,8,Loyal Customers
12395,15,15,195.08,4,4,4,12,Champions
12397,35,2,31.85,3,2,2,7,Loyal Customers
12398,45,1,15.0,3,1,1,5,Potential Customers
12399,119,4,136.2,2,3,4,9,Loyal Customers
12401,303,1,17.85,1,1,2,4,At Risk
12402,323,1,19.5,1,1,2,4,At Risk
12403,49,2,148.0,3,2,4,9,Loyal Customers
12405,148,1,12.48,1,1,1,3,At Risk
12406,22,3,109.55000000000001,3,2,3,8,Loyal Customers
12407,49,5,248.24,3,3,4,10,Champions
12408,32,9,56.650000000000006,3,4,3,10,Champions
12409,78,7,132.89,2,4,4,10,Champions
12410,301,3,30.25,1,2,2,5,Potential Customers
12412,74,3,44.76,2,2,3,7,Loyal Customers
12413,66,5,-19.849999999999998,2,3,1,6,Returned/Churned
12414,217,3,126.36000000000001,1,2,4,7,Loyal Customers
12415,24,26,5673.55,3,4,4,11,Champions
12417,3,12,101.60000000000001,4,4,3,11,Champions
12418,112,1,10.08,2,1,1,4,At Risk
12420,63,1,18.72,2,1,2,5,Potential Customers
12421,15,5,72.13,4,3,3,10,Champions
12422,95,3,50.7,2,2,3,7,Loyal Customers
12423,0,9,70.53,4,4,3,11,Champions
12424,162,2,229.14000000000001,1,2,4,7,Loyal Customers
12425,78,1,8.5,2,1,1,4,At Risk
12426,194,1,17.700000000000003,1,1,2,4,At Risk
12427,11,5,7.230000000000004,4,3,1,8,Loyal Customers
12428,25,12,720.2800000000001,3,4,4,11,Champions
12429,9,4,161.18,4,3,4,11,Champions
12430,43,1,9.959999999999999,3,1,1,5,Potential Customers
12431,35,18,1066.1200000000001,3,4,4,11,Champions
12432,42,5,885.1,3,3,4,10,Champions
12433,0,7,198.95999999999998,4,4,4,12,Champions
12434,84,4,7.950000000000005,2,3,1,6,Potential Customers
12435,79,2,464.4,2,2,4,8,Loyal Customers
12436,99,1,12.600000000000001,2,1,1,4,At Risk
12437,1,19,630.86,4,4,4,12,Champions
12438,14,2,36.4,4,2,2,8,Loyal Customers
12441,366,1,10.5,1,1,1,3,At Risk
12442,3,1,17.4,4,1,2,7,Loyal Customers
12444,21,5,202.51,3,3,4,10,Champions
12445,22,1,30.0,3,1,2,6,Potential Customers
12446,57,1,6.8,2,1,1,4,At Risk
12447,243,1,19.5,1,1,2,4,At Risk
12448,44,1,19.799999999999997,3,1,2,6,Potential Customers
12449,22,4,121.5,3,3,4,10,Champions
12450,156,2,76.2,1,2,3,6,Potential Customers
12451,10,6,-40.379999999999995,4,4,1,9,Returned/Churned
12452,16,3,97.8,4,2,3,9,Loyal Customers
12453,134,1,19.799999999999997,2,1,2,5,Potential Customers
12454,53,2,0.0,2,2,1,5,Returned/Churned
12455,73,6,109.37,2,4,3,9,Loyal Customers
12456,44,4,48.83,3,3,3,9,Loyal Customers
12457,58,12,368.54999999999995,2,4,4,10,Champions
12458,71,2,45.12,2,2,3,7,Loyal Customers
12461,94,2,213.52,2,2,4,8,Loyal Customers
12462,2,4,14.559999999999999,4,3,1,8,Loyal Customers
12463,46,7,70.01,3,4,3,10,Champions
12464,10,8,259.4,4,4,4,12,Champions
12465,7,3,20.85,4,2,2,8,Loyal Customers
12468,143,3,45.650000000000006,2,2,3,7,Loyal Customers
12471,2,49,1880.7899999999997,4,4,4,12,Champions
12472,30,13,58.66,3,4,3,10,Champions
12473,29,9,-382.84999999999997,3,4,1,8,Returned/Churned
12474,17,30,157.93,3,4,4,11,Champions
12475,53,1,30.24,2,1,2,5,Potential Customers
12476,1,20,456.74,4,4,4,12,Champions
12477,22,9,240.92,3,4,4,11,Champions
12478,3,1,135.0,4,1,4,9,Loyal Customers
12479,3,3,-16.7,4,2,1,7,Returned/Churned
12480,28,4,59.04,3,3,3,9,Loyal Customers
12481,22,11,191.1,3,4,4,11,Champions
12483,17,13,190.55,3,4,4,11,Champions
12484,32,8,417.75,3,4,4,11,Champions
12488,9,3,50.25000000000001,4,2,3,9,Loyal Customers
12489,336,1,36.0,1,1,2,4,At Risk
12490,5,10,361.38,4,4,4,12,Champions
12491,38,1,15.600000000000001,3,1,2,6,Potential Customers
12492,63,2,29.1,2,2,2,6,Potential Customers
12493,165,3,24.51,1,2,2,5,Potential Customers
12494,9,13,23.459999999999997,4,4,2,10,Champions
12497,81,1,177.60000000000002,2,1,4,7,Loyal Customers
12498,21,3,41.050000000000004,3,2,3,8,Loyal Customers
12500,23,13,1188.19,3,4,4,11,Champions
12501,315,2,2.55,1,2,1,4,At Risk
12502,95,5,299.9,2,3,4,9,Loyal Customers
12503,337,1,-1126.0,1,1,1,3,Returned/Churned
12504,18,4,2.799999999999997,3,3,1,7,Loyal Customers
12505,301,1,-4.5,1,1,1,3,Returned/Churned
12506,232,1,7.95,1,1,1,3,At Risk
12507,134,4,55.2,2,3,3,8,Loyal Customers
12508,26,2,10.8,3,2,1,6,Potential Customers
12509,284,1,49.5,1,1,3,5,Potential Customers
12510,142,2,195.72,2,2,4,8,Loyal Customers
12512,66,2,13.9,2,2,1,5,Potential Customers
12513,84,2,-17.0,2,2,1,5,Returned/Churned
12514,267,1,35.7,1,1,2,4,At Risk
12515,353,1,17.0,1,1,2,4,At Risk
12516,77,2,145.28,2,2,4,8,Loyal Customers
12517,28,6,90.45,3,4,3,10,Champions
12518,0,5,117.0,4,3,4,11,Champions
12519,63,1,30.599999999999998,2,1,2,5,Potential Customers
12520,79,6,49.39,2,4,3,9,Loyal Customers
12521,142,1,15.299999999999999,2,1,2,5,Potential Customers
12522,39,2,34.22,3,2,2,7,Loyal Customers
12523,1,13,160.32,4,4,4,12,Champions
12524,9,8,453.23,4,4,4,12,Champions
12526,0,3,56.2,4,2,3,9,Loyal Customers
12527,81,3,102.10000000000001,2,2,3,7,Loyal Customers
12528,9,8,127.60000000000001,4,4,4,12,Champions
12530,59,5,172.70000000000002,2,3,4,9,Loyal Customers
12531,14,1,4.35,4,1,1,6,Potential Customers
12532,30,1,9.36,3,1,1,5,Potential Customers
12534,130,1,16.5,2,1,2,5,Potential Customers
12535,91,2,61.550000000000004,2,2,3,7,Loyal Customers
12536,7,5,-19.40000000000036,4,3,1,8,Returned/Churned
12538,29,1,39.8,3,1,3,7,Loyal Customers
12539,22,5,-1663.02,3,3,1,7,Returned/Churned
12540,19,19,554.53,3,4,4,11,Champions
12541,29,3,75.4,3,2,3,8,Loyal Customers
12544,29,2,8.5,3,2,1,6,Potential Customers
12545,75,2,34.9,2,2,2,6,Potential Customers
12546,46,3,22.6,3,2,2,7,Loyal Customers
12547,197,2,50.4,1,2,3,6,Potential Customers
12548,166,1,17.4,1,1,2,4,At Risk
12550,79,1,20.8,2,1,2,5,Potential Customers
12551,357,1,19.5,1,1,2,4,At Risk
12552,38,2,133.52,3,2,4,9,Loyal Customers
12553,8,14,217.59,4,4,4,12,Champions
12556,50,2,14.19,3,2,1,6,Potential Customers
12557,16,5,1165.24,4,3,4,11,Champions
12558,1,2,-15.760000000000002,4,2,1,7,Returned/Churned
12559,310,3,64.60000000000001,1,2,3,6,Potential Customers
12560,5,4,178.12,4,3,4,11,Champions
12561,302,1,12.600000000000001,1,1,1,3,At Risk
12562,8,7,185.34,4,4,4,12,Champions
12564,261,1,23.4,1,1,2,4,At Risk
12565,281,2,-9.71,1,2,1,4,Returned/Churned
12566,72,2,10.05,2,2,1,5,Potential Customers
12567,22,11,191.94,3,4,4,11,Champions
12569,2,35,626.44,4,4,4,12,Champions
12571,39,2,20.159999999999997,3,2,2,7,Loyal Customers
12572,8,3,61.65,4,2,3,9,Loyal Customers
12573,227,1,8.4,1,1,1,3,At Risk
12574,315,1,15.0,1,1,1,3,At Risk
12576,35,6,68.73,3,4,3,10,Champions
12577,35,4,-49.00000000000001,3,3,1,7,Returned/Churned
12578,21,4,51.85000000000001,3,3,3,9,Loyal Customers
