,job_title,company,skills,date_posted,Location
0,Software Engineer,"HyTech Solutions, Multiple Cities , Pakistan","PostgreSQL, Django, Vue.js",2025-09-02,"Multiple Cities , Pakistan"
1,Software Engineer - Intern,"Zixel Technology, Islamabad , Pakistan","Git, Problem Solving, CPLUSPLUS",2025-08-27,"Islamabad , Pakistan"
2,Software Engineer - SQL Database,"The Shams Group, All Cities , Pakistan","HTML, Data Management, .Net Framework, Software Development, Microsoft SQL Database, Powershell, End  to End Sales",2025-09-03,"All Cities , Pakistan"
3,Software Engineer,"CNC Software Pvt Ltd, Kasur , Pakistan","LINUX, Shell Scripting, API, Python",2025-08-20,"Kasur , Pakistan"
4,Software Engineer,"The Shams Group, All Cities , Pakistan","MOSFETs, MVC, .NET, Windows Server OS, Office 365 Applications, TSSQL, SQL Server, End  to End Sales",2025-09-03,"All Cities , Pakistan"
5,Software Engineer,"Agilosoft, All Cities , Pakistan","Web API, Microservices, REACT.JS, SQL, Problem-Solving, CCHANNEL",2025-08-23,"All Cities , Pakistan"
6,Software Engineer,"Pattem Digital, Bangalore , India","Restful APIs, HTML, Node.js",2025-08-20,"Bangalore , India"
7,Software Engineer,"Global E-Commerce Services Pvt, Karachi , Pakistan","MySQL, CSS3, Bootstrap, Object-oriented programming, Version Control (GIT), Angular, HTML5, JavaScript",2025-08-24,"Karachi , Pakistan"
8,Software Engineer,"Kodifly, Islamabad , Pakistan","Computer Vision, AI, 3D point cloud processing, Digital twin creation, LiDAR technology",2025-08-19,"Islamabad , Pakistan"
9,Software Engineer,"Systems PK, All Cities , Pakistan","Data Analysis, SQL, Problem-Solving, R, Python, Communication, Data Cleaning, AI and machine learning concepts",2025-08-15,"All Cities , Pakistan"
10,Software Engineer,"Siriz Apps, Lahore , Pakistan","ASP.net, Git, SOAP, MVC, Entity FrameWork, Web API, Swagger, Azure DevOps, Open Api, Micro Services Arch",2025-08-07,"Lahore , Pakistan"
