Keyword,Job Title,Company,Date Posted,Salary,Experience,Skills,Description
data,,,,,,,
data,,,,,,,
data,,,,,,,
data,,,,,,,
data,,,,,,,
data,Data Entry / Data Cleaner,"Soft Steer, Lahore , Pakistan",,,2 Years,"Formatting, Cleaning, Data Cleaning, Filtering, Attention to Detail, Data Entry, basic formulas), Microsoft Excel (sorting, Basic knowledge of CRM or lead management tools","Soft Steer is a fast-growing leader in the fitness and wellness technology industry, dedicated to building a diverse and inclusive workplace.."
data,Data Analyst,"Riaz ul Quran Academy, All Cities , Pakistan",,,2 Years,"Data Analysis, Statistical Techniques, Data Interpretation, Database Maintenance, data collection systems, trend and pattern analysis",We are seeking a full-time Data Analyst to join our team on-site in the Karachi Division. The ideal candidate will play a crucial role in in..
data,Data Officer - District Level,"MicroMerger (Pvt.) Ltd., Multiple Cities , Pakistan",,,1 Year,"Data Distribution Analysis, Data Analytics, Data Visualization Skills","Plays a critical role in supporting the timely and accurate collection, management, and analysis of data at the union council level. The DO .."
data,Data Analyst,"Unknown Nordics, All Cities , Pakistan",,,2 Years,"Data Analysis, Analytical Skills, Business Data Analysis, Marketing Data Analysis, Data-driven Decision Making, Attention to Detail, Operational data analysis, data translation into recommendations","We are seeking a meticulous and data-driven Data Analyst to join our team. In this role, you will analyze business, marketing, and operation.."
data,Data Engineer,"WebDigitalSphere, All Cities , Pakistan",,,3 Years,"Data Analytics, Data Warehousing, Data Modeling, Analytical Abilities, ETL Processes, Data Engineering, Databricks, Snowflake, Problem-Solving","This full-time remote contract opportunity is for a Senior Data Engineer based in Pakistan. The role centers on designing, building, and mai.."
data,Data Administrator / Inventory Manager / Product Lister,"Bragan, Dublin , Ireland",,,5 Years,"Trello, Linnworks, Magento",We are seeking a motivated and detail-oriented Data Administrator / Inventory Manager & Product Lister to join our team. This key role invol..
data,Data Engineer,"Apex Strategies, All Cities , Pakistan",,,2 Years,"Data Engineering, Big data tools, building scalable data systems, reliable data infrastructure, efficient data systems","We are seeking a motivated Data Engineer to join our remote team based in Germany. This full-time, mid-level position offers the opportunity.."
data,Data Analyst,"Pak Suzuki Motor Company Limited, All Cities , Pakistan",,,2 Years,"Data Analysis, Statistical Analysis, SQL, R, Python, Data Cleaning",This role involves working closely with sales data to provide actionable insights that drive business decisions. The ideal candidate will be..
data,Data Engineer,"Contour Software, Karachi , Pakistan",,,3 Years,"Apache Kafka, ATHENA, PySpark, Databricks, Glue, Data Lake, AWS Glue, Apache Airflow, MongoDB), Amazon EMR, Advanced English Proficiency, Security Groups, ADVANCED PYTHON PROGRAMMING, Boto3), IAM Policies, AWS cloud data lake architectures (S3, Redshift), Data warehouse concepts and architectures, Scalable data pipelines design and build, AWS SDKs (e.g., Strong SQL and query optimization, NoSQL databases (DynamoDB, RESTful API integration with Python, Data security best practices (encryption at rest, AWS KMS, VPC configurations, Basic machine learning concepts for data cleaning","Contour Software, a subsidiary of Constellation Software Inc., has grown rapidly from a small team to over 2,000 employees across Karachi, L.."
data,Data Scientist,"Hugebeez Marketing LLC, Multiple Cities , Pakistan",,70K - 100K,1 Year,"Data Science, Communication Skills, Analytical Skills","We are hiring a Data Scientist to join our growing team. The ideal candidate should have strong analytical skills, hands-on experience in da.."
data,Data Analyst,"QVISE Quality Vertex Integrated System Engineering Pvt, All Cities , Pakistan",,100K - 100K,2 Years,"Communication Skills, Power BI, Pivot Tables, Data Analysis Techniques, Analytical and Problem-solving Skills, Transformation, Statistical Concepts, Data Cleaning, Excel (Advanced Formulas, SQL (preferred), data visualization), Data modeling principles, and validation, Python or R (preferred)","You will be instrumental in extracting, transforming, and analyzing data from various sources to provide actionable insights that support in.."
data,Data Lead,"ValueMomentum, Hyderabad , Pakistan",,,6 Years,"Agile, SCRUM, DevOps, Data Processing, PySpark, SQL, Azure Functions, Data Ingestion, Azure Databricks, Python, Azure SQL Database, Azure Blob Storage, Synapse Analytics, Azure Data Factory (ADF), Azure Data Lake Storage (ADLS), Procedural SQL, Storage Explorer, CI/CD deployment pipelines, ETL process design, Analytical pipeline development",We are seeking an experienced Azure Data Engineer to join our Hyderabad team as a Data Lead. The ideal candidate will bring 8 to 13 years of..
data,Data Officer,"MicroMerger (Pvt.) Ltd., Karachi , Pakistan",,,1 Year,"Data Distribution Analysis, Data Analytics, Data Visualization Skills","Plays a critical role in supporting the timely and accurate collection, management, and analysis of data at the union council level. The DO .."
data,Data Analyst,"Careem, Karachi , Pakistan",,,2 Years,"Data Analysis, Tableau, NumPy, Communication Skills, Power BI, Pandas, Data-driven Decision Making, Joins, SQL, Power Bi), A/B Testing, Python, Google Sheets, Python (pandas, window functions, Business Intelligence tools (Tableau, NumPy) - preferred, Dashboard creation and management, data transformations, data transformations), SQL (window functions","Careem is building the Everything App to simplify daily activities across the Middle East, including transportation, food and grocery orderi.."
data,Data Analyst,"Careem, Karachi , Pakistan",,,2 Years,"Data Analysis, Tableau, NumPy, Communication Skills, Power BI, Pandas, Joins, SQL, Dashboard Creation, Python, Google Sheets, Analytical Mindset, Business Intelligence, window functions, Python (preferred), complex data transformations, Pandas (preferred), NumPy (preferred)","Careem is a leading technology company focused on creating the Everything App for the Middle East, aiming to simplify daily life through sea.."
data,Data Analyst,"MedAsk Pvt, All Cities , Pakistan",,80K - 80K,3 Years,"Data Analysis, Report Generation, Data Validation, Training and Support, Data Interpretation, Problem-Solving, MS Excel, Data Entry Accuracy, Abuzar Software, Communication","This position is centered on the precise monitoring, analysis, and reporting of operational data using Abuzar software. The successful candi.."
data,Data entry,"ByteCrafts Solution, Lahore , Pakistan",,,2 Years,"WORD), MS Office (Excel, Ability To Work Independently, handling confidential information, Time Management, Fast And Accurate Typing Skills, Attention to Detail, Data Entry","ByteCrafts Solution is looking for a detail-oriented Data Entry Operator to join our team on a part-time, remote basis. This role is ideal f.."
data,Data Operator,"CG Global Pvt, All Cities , Pakistan",,25K - 25K,2 Years,"Documentation, Reliability, Data Accuracy, Fast Typing Speed, Urdu Typing, MS Excel, English, Google Sheets, Attention to Detail, Data Entry, Back-Office Operations, Confidentiality, form-based data entry systems",We are looking for meticulous and dedicated Data Entry Operators to support a government land digitization project. This role involves caref..
data,Data Scientist,"Style Textile, Lahore , Pakistan",,,2 Years,"Data Analysis, Process Optimization, Statistical Modeling, Predictive Modeling, Advanced Analytics, Reporting, data-driven insights",We are seeking a highly motivated and detail-oriented Data Scientist to join our dynamic team. The successful candidate will leverage their ..
data,Data Analyst,"Terafort, Lahore , Pakistan",,,2 Years,"Data Analysis, Predictive Modeling, Insight Generation, Dashboard Creation, data foundation building","We are looking for a skilled Data Analyst to convert complex data sets into clear, actionable insights that support strategic decisions acro.."
data,,,,,,,
data,,,,,,,
data,,,,,,,
data,,,,,,,
data,,,,,,,
data,Data Entry / Data Cleaner,"Soft Steer, Lahore , Pakistan",,,2 Years,"Formatting, Cleaning, Data Cleaning, Filtering, Attention to Detail, Data Entry, basic formulas), Microsoft Excel (sorting, Basic knowledge of CRM or lead management tools","Soft Steer is a fast-growing leader in the fitness and wellness technology industry, dedicated to building a diverse and inclusive workplace.."
data,Data Analyst,"Riaz ul Quran Academy, All Cities , Pakistan",,,2 Years,"Data Analysis, Statistical Techniques, Data Interpretation, Database Maintenance, data collection systems, trend and pattern analysis",We are seeking a full-time Data Analyst to join our team on-site in the Karachi Division. The ideal candidate will play a crucial role in in..
data,Data Officer - District Level,"MicroMerger (Pvt.) Ltd., Multiple Cities , Pakistan",,,1 Year,"Data Distribution Analysis, Data Analytics, Data Visualization Skills","Plays a critical role in supporting the timely and accurate collection, management, and analysis of data at the union council level. The DO .."
